latent_frame,block,block_frame,pixel_start,pixel_end,runtime_edit_fraction,selected_fraction,owner_fraction,hand_fraction,edit_hand_overlap_fraction,target_action_mean,source_closure_mean,kv_read_fraction,kv_read_mean,kv_write_core_fraction,payload_commit_fraction,topology_hole_fraction,topology_read_fraction,topology_read_mean,persistent_direct_fraction,persistent_retained_fraction,persistent_payload_fraction,persistent_guarded_fraction,flow_object_mean,flow_background_mean,flow_boundary_mean,flow_unknown_mean,flow_recovered_fraction,flow_transport_confidence_mean,flow_appearance_trust_mean,flow_local_transport_confidence_mean,flow_ledger_support_fraction,flow_ledger_confidence_mean,flow_ledger_appearance_trust_mean,flow_ledger_local_transport_mean,sink_admission_fraction,sink_selected_frame_mean,sink_source_similarity_mean,sink_attention_entropy_mean,sink_attention_peak_mean,sink_coverage_mean,sink_applied_strength_mean,immutable_owner_mean,immutable_support_mean,immutable_correction_mean,immutable_subspace_coherence_mean,immutable_assignment_entropy_mean,immutable_assignment_peak_mean,immutable_assignment_margin_mean
0,0,0,0,0,0.07051282051282051,0.07051282376050949,0.07051282376050949,0.0532051282051282,0.0,0.08480490744113922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057236965745687485,0.859183132648468,0.0780472680926323,0.05320512875914574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,4,0.07948717948717948,0.07948718219995499,0.07948718219995499,0.05384615384615385,0.0,0.10213711112737656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0637798085808754,0.43941134214401245,0.06974145770072937,0.11430889368057251,0.014743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,5,8,0.08397435897435897,0.08397436141967773,0.08397436141967773,0.05576923076923077,0.0,0.10600446909666061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06634622067213058,0.43457919359207153,0.06701035797595978,0.10241793096065521,0.020512820512820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,9,12,0.0858974358974359,0.08589743822813034,0.0852564126253128,0.05512820512820513,0.0,0.10876603424549103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07189678400754929,0.43180498480796814,0.07412410527467728,0.09297873824834824,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,13,16,0.08525641025641026,0.0852564126253128,0.08397436141967773,0.05641025641025641,0.0,0.10754881799221039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709385871887207,0.4382115304470062,0.07313810288906097,0.08961236476898193,0.01987179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,2,17,20,0.08653846153846154,0.08653846383094788,0.0833333358168602,0.057692307692307696,0.0,0.10744476318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06655899435281754,0.44935548305511475,0.06801950186491013,0.0965670570731163,0.017948717948717947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0,21,24,0.09102564102564102,0.09102564305067062,0.08782051503658295,0.0532051282051282,0.0,0.1114920899271965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0594780258834362,0.4907870292663574,0.05842296779155731,0.11100868880748749,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,1,25,28,0.09166666666666666,0.09166666865348816,0.08974359184503555,0.05512820512820513,0.0,0.11208008229732513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625162199139595,0.5275537967681885,0.062052227556705475,0.10651729255914688,0.020512820512820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,2,29,32,0.1064102564102564,0.10641025751829147,0.09871795028448105,0.047435897435897434,0.0,0.12523780763149261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05860251560807228,0.4963669180870056,0.05203258991241455,0.1293877363204956,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0,33,36,0.1076923076923077,0.10769230872392654,0.10000000149011612,0.04807692307692308,0.0,0.12677469849586487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696014016866684,0.4888700842857361,0.06469990313053131,0.10086645185947418,0.0391025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
