frame,is_boundary,support_area,object_luma_median,brown_shell_luma_median,brown_shell_luma_p25,brown_shell_fraction,cool_spot_fraction,background_luma_median,brown_to_background_ratio,temporal_luma_l1
0,0,29406,39.143001556396484,39.196800231933594,34.327999114990234,0.8476501394273278,0.050397877984084884,85.62460327148438,0.45777496695518494,0.0
1,0,29517,39.76759719848633,39.802001953125,34.97500228881836,0.8464274824677305,0.051563505776332286,85.6365966796875,0.46477794647216797,3.4501261711120605
2,0,29735,39.97500228881836,40.03799819946289,35.120601654052734,0.8440558264671263,0.05552379350933244,85.57360076904297,0.46787792444229126,3.5705978870391846
3,0,29711,40.26499938964844,40.26499938964844,35.2650032043457,0.8469590387398607,0.05344821783177948,85.64820098876953,0.47012078762054443,5.172983169555664
4,0,29760,40.06039810180664,40.19679641723633,35.196800231933594,0.8504704301075269,0.04939516129032258,85.54719543457031,0.469878613948822,6.216370582580566
5,0,29894,40.767601013183594,40.77159881591797,35.327999114990234,0.850371311968957,0.056934501906737135,85.46299743652344,0.4770672619342804,4.233677387237549
6,0,29945,40.83060073852539,40.91600036621094,35.2650032043457,0.8499248622474537,0.053832025379863084,85.41720581054688,0.4790135622024536,2.215311288833618
7,0,30058,42.69419860839844,42.69419860839844,37.974998474121094,0.8478275334353583,0.055958480271475146,85.40279388427734,0.4999157190322876,5.1261773109436035
8,0,30130,49.974998474121094,49.69419860839844,41.83060073852539,0.8526717557251908,0.05944241619648191,85.33580017089844,0.5823370814323425,12.620296478271484
9,1,30088,48.779598236083984,48.350399017333984,40.3411979675293,0.8522002127093858,0.05753124169103962,85.77019500732422,0.5637202858924866,4.691612720489502
10,0,30235,43.71659851074219,43.57219696044922,35.28219985961914,0.8421035224078055,0.06059202910534149,85.69770050048828,0.5084406733512878,7.549033164978027
11,0,30253,42.42660140991211,42.282203674316406,34.20600128173828,0.839982811621988,0.059498231580339137,85.76800537109375,0.4929834008216858,2.7603683471679688
12,0,30293,40.71659851074219,40.69419860839844,32.350399017333984,0.84045819166144,0.0576700887993926,85.62579345703125,0.4752563238143921,2.507248640060425
13,0,30310,40.426597595214844,40.290199279785156,32.350399017333984,0.8414054767403497,0.05925437149455625,85.4802017211914,0.47133955359458923,2.992469549179077
14,0,30277,40.350399017333984,40.28219985961914,32.28219985961914,0.8405390230207749,0.06202728143475245,85.42919921875,0.4715273082256317,2.454136848449707
15,0,30273,39.852996826171875,39.77960205078125,31.852998733520508,0.8406170514980346,0.06044990585670399,85.40279388427734,0.4657880663871765,3.308204174041748
